trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900288863,Walk Up,230,01/10/2015 18:12:08,3291,11th & San Jacinto,2561,State Capitol Visitors Garage @ San Jacinto & 12th,35
9900288951,Local365,561,01/10/2015 23:12:03,3291,11th & San Jacinto,3291,11th & San Jacinto,19
9900288977,Local365,897,01/10/2015 15:12:22,2564,5th & San Marcos,2544,East 6th & Pedernales St.,8
9900288985,Local30,224,01/10/2015 19:12:19,2568,East 11th St. at Victory Grill,2576,Rainey @ River St,27
9900288998,Local365,140,01/10/2015 12:12:58,1008,Nueces @ 3rd,1008,Nueces @ 3rd,10
9900289035,Local365,212,01/10/2015 12:12:43,2541,State Capitol @ 14th & Colorado,2540,17th & Guadalupe,4
9900289083,Local365,938,01/10/2015 18:12:16,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,5
9900289091,Local30,221,01/10/2015 20:12:58,3291,11th & San Jacinto,2568,East 11th St. at Victory Grill,7
9900289108,Local30,969,01/10/2015 13:12:09,1008,Nueces @ 3rd,1008,Nueces @ 3rd,16
9900289112,Local30,969,01/10/2015 16:12:01,1008,Nueces @ 3rd,1008,Nueces @ 3rd,19
9900289126,Local365,546,01/10/2015 20:12:17,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900289157,Annual,800,01/10/2015 18:12:32,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,13
9900289236,Weekender,200,02/10/2015 16:12:52,3293,East 2nd & Pedernales,3293,East 2nd & Pedernales,32
9900289247,Walk Up,202,02/10/2015 12:12:30,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,0
9900289262,Walk Up,966,02/10/2015 13:12:00,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,14
9900289307,Walk Up,398,02/10/2015 15:12:31,2546,ACC - West & 12th Street,1006,Zilker Park West,19
9900289320,Walk Up,140,02/10/2015 16:12:32,1008,Nueces @ 3rd,1008,Nueces @ 3rd,1
9900289332,Walk Up,266,02/10/2015 21:12:57,1006,Zilker Park West,1006,Zilker Park West,1
9900289349,Walk Up,236,02/10/2015 20:12:58,1006,Zilker Park West,2546,ACC - West & 12th Street,30
9900289372,Walk Up,885,02/10/2015 21:12:16,1006,Zilker Park West,2536,Waller & 6th St.,44
9900289380,Walk Up,829,02/10/2015 21:12:49,1006,Zilker Park West,1008,Nueces @ 3rd,23
9900289457,Weekender,712,02/10/2015 16:12:07,3293,East 2nd & Pedernales,3293,East 2nd & Pedernales,31
9900289493,Walk Up,407,02/10/2015 21:12:45,1006,Zilker Park West,2536,Waller & 6th St.,42
9900289496,Walk Up,141,02/10/2015 21:12:02,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900289535,Walk Up,895,02/10/2015 10:12:18,1006,Zilker Park West,1006,Zilker Park West,1
9900289572,Walk Up,362,02/10/2015 20:12:09,1006,Zilker Park West,2546,ACC - West & 12th Street,30
9900289573,Walk Up,272,02/10/2015 20:12:52,1006,Zilker Park West,1006,Zilker Park West,1
9900289581,Walk Up,712,02/10/2015 21:12:41,1006,Zilker Park West,1006,Zilker Park West,1
9900289594,Walk Up,435,02/10/2015 21:12:04,1006,Zilker Park West,1006,Zilker Park West,1
9900289684,Walk Up,435,02/10/2015 21:12:43,1006,Zilker Park West,1006,Zilker Park West,1
9900289690,Walk Up,62,02/10/2015 21:12:31,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900289721,Weekender,902,02/10/2015 09:12:46,2712,Toomey Rd @ South Lamar,1006,Zilker Park West,6
9900289734,Walk Up,202,02/10/2015 12:12:15,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,0
9900289861,Walk Up,956,02/10/2015 21:12:29,1006,Zilker Park West,1008,Nueces @ 3rd,22
9900289883,Walk Up,406,02/10/2015 23:12:34,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,13
9900289965,Walk Up,774,02/10/2015 20:12:35,1006,Zilker Park West,1006,Zilker Park West,1
9900289969,Walk Up,664,02/10/2015 20:12:36,1006,Zilker Park West,1006,Zilker Park West,1
9900289972,Walk Up,961,02/10/2015 21:12:04,1006,Zilker Park West,1006,Zilker Park West,1
9900289974,Walk Up,937,02/10/2015 21:12:22,1006,Zilker Park West,2540,17th & Guadalupe,26
9900289983,Walk Up,435,02/10/2015 21:12:22,1006,Zilker Park West,1006,Zilker Park West,1
9900290007,Walk Up,974,02/10/2015 22:12:29,1008,Nueces @ 3rd,2564,5th & San Marcos,11
9900290012,Walk Up,555,02/10/2015 23:12:49,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,14
9900290020,Walk Up,78,02/10/2015 16:12:42,1006,Zilker Park West,1006,Zilker Park West,56
9900290115,Walk Up,15,02/10/2015 13:12:04,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,15
9900290119,Walk Up,95,02/10/2015 14:12:07,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,453
9900290124,Walk Up,327,02/10/2015 15:12:48,1006,Zilker Park West,1006,Zilker Park West,1
9900290132,Local365,746,02/10/2015 21:12:08,1006,Zilker Park West,1008,Nueces @ 3rd,24
9900290190,Local365,555,02/10/2015 22:12:14,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290215,Local365,417,02/10/2015 12:12:10,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900290218,Local365,224,02/10/2015 09:12:18,2576,Rainey @ River St,2536,Waller & 6th St.,8
9900290229,Local365,958,02/10/2015 11:12:21,2576,Rainey @ River St,1006,Zilker Park West,32
9900290240,Local365,871,02/10/2015 11:12:50,2576,Rainey @ River St,1006,Zilker Park West,33
9900290254,Local365,407,02/10/2015 16:12:35,1008,Nueces @ 3rd,2540,17th & Guadalupe,12
9900290259,Local365,470,02/10/2015 17:12:40,1006,Zilker Park West,1008,Nueces @ 3rd,18
9900290296,Local365,306,02/10/2015 17:12:50,1008,Nueces @ 3rd,1007,Lavaca & 6th,0
9900290331,Local365,902,02/10/2015 10:12:19,1006,Zilker Park West,2576,Rainey @ River St,246
9900290333,Local365,369,02/10/2015 11:12:25,2576,Rainey @ River St,1006,Zilker Park West,32
9900290378,Local365,327,02/10/2015 14:12:30,1006,Zilker Park West,1006,Zilker Park West,1
9900290386,Local365,593,02/10/2015 17:12:52,1006,Zilker Park West,1008,Nueces @ 3rd,18
9900290396,Local365,22,02/10/2015 10:12:52,1008,Nueces @ 3rd,1008,Nueces @ 3rd,5
9900290438,Local30,866,02/10/2015 22:12:05,2712,Toomey Rd @ South Lamar,2576,Rainey @ River St,23
9900290485,Local365,72,02/10/2015 21:12:51,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900290488,Local365,397,02/10/2015 22:12:51,1008,Nueces @ 3rd,2564,5th & San Marcos,12
9900290496,Local365,3,02/10/2015 17:12:57,1006,Zilker Park West,2576,Rainey @ River St,24
9900290499,Local365,100,02/10/2015 17:12:03,1008,Nueces @ 3rd,1006,Zilker Park West,11
9900290570,Weekender,58,03/10/2015 13:12:11,2576,Rainey @ River St,1006,Zilker Park West,23
9900290601,Walk Up,963,03/10/2015 21:12:51,1006,Zilker Park West,2546,ACC - West & 12th Street,18
9900290615,Walk Up,509,03/10/2015 13:12:22,1007,Lavaca & 6th,3291,11th & San Jacinto,17
9900290636,Walk Up,540,03/10/2015 12:12:14,1006,Zilker Park West,1008,Nueces @ 3rd,25
9900290649,Walk Up,503,03/10/2015 12:12:18,2536,Waller & 6th St.,3293,East 2nd & Pedernales,12
9900290650,Walk Up,411,03/10/2015 11:12:23,2564,5th & San Marcos,2536,Waller & 6th St.,46
9900290651,Walk Up,385,03/10/2015 12:12:25,2536,Waller & 6th St.,3293,East 2nd & Pedernales,11
9900290672,Walk Up,153,03/10/2015 12:12:34,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,40
9900290692,Walk Up,344,03/10/2015 12:12:09,1008,Nueces @ 3rd,1006,Zilker Park West,18
9900290725,Walk Up,561,03/10/2015 18:12:48,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,49
9900290726,Walk Up,176,03/10/2015 18:12:05,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290730,Walk Up,907,03/10/2015 13:12:53,2568,East 11th St. at Victory Grill,2568,East 11th St. at Victory Grill,3
9900290744,Walk Up,621,03/10/2015 16:12:53,1006,Zilker Park West,1007,Lavaca & 6th,0
9900290774,Walk Up,938,03/10/2015 23:12:47,2541,State Capitol @ 14th & Colorado,2576,Rainey @ River St,38
9900290797,Walk Up,511,03/10/2015 15:12:11,2564,5th & San Marcos,2564,5th & San Marcos,61
9900290798,Walk Up,470,03/10/2015 15:12:00,2564,5th & San Marcos,2564,5th & San Marcos,60
9900290817,Explorer,938,03/10/2015 20:12:44,1006,Zilker Park West,2541,State Capitol @ 14th & Colorado,30
9900290849,Walk Up,864,03/10/2015 22:12:53,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900290857,Walk Up,133,03/10/2015 18:12:07,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,25
9900290861,Walk Up,80,03/10/2015 18:12:27,1006,Zilker Park West,1006,Zilker Park West,53
9900290896,Walk Up,72,03/10/2015 21:12:26,1006,Zilker Park West,2568,East 11th St. at Victory Grill,14
9900290901,Walk Up,414,03/10/2015 21:12:17,1006,Zilker Park West,1006,Zilker Park West,1
9900290903,Walk Up,442,03/10/2015 21:12:40,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,8
9900290904,Walk Up,696,03/10/2015 23:12:19,2576,Rainey @ River St,2536,Waller & 6th St.,42
9900290905,Walk Up,882,03/10/2015 21:12:27,1006,Zilker Park West,2576,Rainey @ River St,30
9900290955,Walk Up,693,03/10/2015 11:12:46,2564,5th & San Marcos,2564,5th & San Marcos,29
9900290968,Walk Up,133,03/10/2015 12:12:34,1006,Zilker Park West,1008,Nueces @ 3rd,24
9900290972,Walk Up,287,03/10/2015 12:12:37,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,8
9900290984,Walk Up,975,03/10/2015 12:12:56,2564,5th & San Marcos,1006,Zilker Park West,58
9900291000,Walk Up,683,03/10/2015 13:12:52,1008,Nueces @ 3rd,1006,Zilker Park West,15
9900291001,Walk Up,399,03/10/2015 13:12:10,1006,Zilker Park West,1006,Zilker Park West,26
9900291016,Weekender,153,03/10/2015 14:12:41,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,22
9900291033,Walk Up,391,03/10/2015 15:12:37,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,121
9900291055,Walk Up,369,03/10/2015 17:12:36,1006,Zilker Park West,1006,Zilker Park West,35
9900291091,Walk Up,563,03/10/2015 21:12:30,1006,Zilker Park West,1008,Nueces @ 3rd,26
9900291092,Walk Up,320,03/10/2015 21:12:13,2712,Toomey Rd @ South Lamar,1008,Nueces @ 3rd,7
9900291097,Walk Up,241,03/10/2015 21:12:32,1006,Zilker Park West,2576,Rainey @ River St,28
9900291105,Walk Up,397,03/10/2015 21:12:04,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,29
9900291129,Weekender,362,03/10/2015 10:12:16,2546,ACC - West & 12th Street,2536,Waller & 6th St.,11
9900291138,Walk Up,975,03/10/2015 11:12:03,2564,5th & San Marcos,2564,5th & San Marcos,30
9900291214,Walk Up,160,03/10/2015 16:12:29,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291221,Explorer,95,03/10/2015 16:12:22,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,26
9900291266,Explorer,301,03/10/2015 20:12:07,1006,Zilker Park West,2541,State Capitol @ 14th & Colorado,29
9900291278,Walk Up,513,03/10/2015 21:12:14,1006,Zilker Park West,2546,ACC - West & 12th Street,18
9900291324,Walk Up,801,03/10/2015 12:12:25,1007,Lavaca & 6th,1006,Zilker Park West,19
9900291357,Walk Up,920,03/10/2015 13:12:49,2546,ACC - West & 12th Street,1006,Zilker Park West,38
9900291362,Walk Up,559,03/10/2015 13:12:44,1006,Zilker Park West,1006,Zilker Park West,27
9900291374,Weekender,236,03/10/2015 14:12:58,2546,ACC - West & 12th Street,1006,Zilker Park West,15
9900291396,Walk Up,285,03/10/2015 15:12:17,2564,5th & San Marcos,2576,Rainey @ River St,11
9900291405,Walk Up,26,03/10/2015 16:12:51,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291436,Weekender,789,03/10/2015 19:12:09,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,15
9900291473,Walk Up,1000,03/10/2015 21:12:03,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291483,Walk Up,301,03/10/2015 23:12:23,2541,State Capitol @ 14th & Colorado,2576,Rainey @ River St,38
9900291502,Walk Up,974,03/10/2015 11:12:07,2564,5th & San Marcos,2564,5th & San Marcos,0
9900291511,Walk Up,965,03/10/2015 12:12:42,1008,Nueces @ 3rd,2712,Toomey Rd @ South Lamar,9
9900291526,Walk Up,685,03/10/2015 12:12:00,2536,Waller & 6th St.,3293,East 2nd & Pedernales,10
9900291551,Weekender,85,03/10/2015 13:12:24,2576,Rainey @ River St,1006,Zilker Park West,23
9900291600,Walk Up,16,03/10/2015 16:12:04,2712,Toomey Rd @ South Lamar,1007,Lavaca & 6th,0
9900291625,Walk Up,369,03/10/2015 18:12:55,1006,Zilker Park West,1006,Zilker Park West,4
9900291628,Walk Up,2459,03/10/2015 19:12:16,1006,Zilker Park West,2712,Toomey Rd @ South Lamar,22
9900291630,Walk Up,58,03/10/2015 19:12:53,1007,Lavaca & 6th,1007,Lavaca & 6th,0
9900291658,Walk Up,839,03/10/2015 21:12:04,1006,Zilker Park West,2576,Rainey @ River St,28
9900291659,Walk Up,548,03/10/2015 21:12:47,1006,Zilker Park West,1007,Lavaca & 6th,0
9900291686,Walk Up,272,03/10/2015 23:12:42,2576,Rainey @ River St,2536,Waller & 6th St.,43
9900291767,Walk Up,578,03/10/2015 14:12:18,2541,State Capitol @ 14th & Colorado,1006,Zilker Park West,23
9900291781,Walk Up,229,03/10/2015 15:12:27,2564,5th & San Marcos,2576,Rainey @ River St,11
